Rudi Völler;null;null;null;null;null;null;null;null;null;null;null;null;3;3;2;null;null;null;null;null;null
Diego Maradona;null;null;null;null;null;null;null;null;null;null;null;2;5;null;1;null;null;null;null;null;null
Guillermo Stábile;8;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ademir;null;null;null;8;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Leônidas;null;1;7;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Rivaldo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;5;null;null;null;null
Óscar Míguez;null;null;null;5;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Hans Schäfer;null;null;null;null;4;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Careca;null;null;null;null;null;null;null;null;null;null;null;null;5;2;null;null;null;null;null;null;null
Old?ich Nejedlý;null;5;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Lajos Tichy;null;null;null;null;null;4;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Johnny Rep;null;null;null;null;null;null;null;null;null;4;3;null;null;null;null;null;null;null;null;null;null
Andrzej Szarmach;null;null;null;null;null;null;null;null;null;5;1;1;null;null;null;null;null;null;null;null;null
Cristiano Ronaldo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;1;4
Luis Suárez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;2;2
Davor Šuker;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;6;null;null;null;null;null
Helmut Haller;null;null;null;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;null;null;null
Lothar Matthäus;null;null;null;null;null;null;null;null;null;null;null;null;1;4;1;null;null;null;null;null;null
Max Morlock;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mario Kempes;null;null;null;null;null;null;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null
Lionel Messi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;4;1
Erich Probst;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bebeto;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;3;null;null;null;null;null
Neymar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;2
Roberto Rivelino;null;null;null;null;null;null;null;null;3;3;null;null;null;null;null;null;null;null;null;null;null
Hristo Stoichkov;null;null;null;null;null;null;null;null;null;null;null;null;null;null;6;null;null;null;null;null;null
James Rodríguez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;6;null
Thierry Henry;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;3;null;null;null
Asamoah Gyan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;3;2;null
György Sárosi;null;1;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Harry Kane;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;6
Salvatore Schillaci;null;null;null;null;null;null;null;null;null;null;null;null;null;6;null;null;null;null;null;null;null
Dennis Bergkamp;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;3;null;null;null;null;null
Rob Rensenbrink;null;null;null;null;null;null;null;null;null;1;5;null;null;null;null;null;null;null;null;null;null
Arjen Robben;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;3;null
Wesley Sneijder;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;1;null
Robin van Persie;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;4;null
Zbigniew Boniek;null;null;null;null;null;null;null;null;null;null;2;4;null;null;null;null;null;null;null;null;null
Josef Hügi;null;null;null;null;6;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Oleg Salenko;null;null;null;null;null;null;null;null;null;null;null;null;null;null;6;null;null;null;null;null;null
Diego Forlán;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;5;null;null
Tim Cahill;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;2;null
Mario Mandžuki?;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;3
Ivan Periši?;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;3
Franz Beckenbauer;null;null;null;null;null;null;null;4;1;null;null;null;null;null;null;null;null;null;null;null;null
Lukas Podolski;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;2;null;null
Gonzalo Higuaín;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;1;null
Hans Krankl;null;null;null;null;null;null;null;null;null;null;4;1;null;null;null;null;null;null;null;null;null
Romelu Lukaku;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;4
Marc Wilmots;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;3;null;null;null;null
Garrincha;null;null;null;null;null;null;4;1;null;null;null;null;null;null;null;null;null;null;null;null;null
Romário;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;null;null;null;null;null;null
Zico;null;null;null;null;null;null;null;null;null;null;1;4;null;null;null;null;null;null;null;null;null
Roger Milla;null;null;null;null;null;null;null;null;null;null;null;null;null;4;1;null;null;null;null;null;null
Tomáš Skuhravý;null;null;null;null;null;null;null;null;null;null;null;null;null;5;null;null;null;null;null;null;null
Jon Dahl Tomasson;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;1;null;null
Emilio Butragueño;null;null;null;null;null;null;null;null;null;null;null;null;5;null;null;null;null;null;null;null;null
Fernando Hierro;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;2;null;null;null;null
Fernando Morientes;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;3;null;null;null;null
Raúl González Blanco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;3;1;null;null;null
Landon Donovan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null;3;null;null
Michel Platini;null;null;null;null;null;null;null;null;null;null;1;2;2;null;null;null;null;null;null;null;null
Zinedine Zidane;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null;3;null;null;null
Autogoles;null;null;null;null;1;null;null;null;null;null;null;null;null;null;null;1;null;null;null;2;1
Gyula Zsengellér;null;null;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Geoff Hurst;null;null;null;null;null;null;null;4;1;null;null;null;null;null;null;null;null;null;null;null;null
Peter McParland;null;null;null;null;null;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Alessandro Altobelli;null;null;null;null;null;null;null;null;null;null;null;1;4;null;null;null;null;null;null;null;null
Silvio Piola;null;null;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Johan Neeskens;null;null;null;null;null;null;null;null;null;5;null;null;null;null;null;null;null;null;null;null;null
Kennet Andersson;null;null;null;null;null;null;null;null;null;null;null;null;null;null;5;null;null;null;null;null;null
Henrik Larsson;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;3;1;null;null;null
Valentín Ivanov;null;null;null;null;null;1;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pedro Cea;5;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Juan Alberto Schiaffino;null;null;null;3;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Edinson Cavani;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;3
Oliver Bierhoff;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;1;null;null;null;null
Andreas Brehme;null;null;null;null;null;null;null;null;null;null;null;null;1;3;null;null;null;null;null;null;null
Paul Breitner;null;null;null;null;null;null;null;null;null;3;null;1;null;null;null;null;null;null;null;null;null
Edmund Conen;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ottmar Walter;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Autogoles;null;null;1;null;1;null;null;null;null;null;null;null;null;null;null;1;null;1;null;null;null
Daniel Bertoni;null;null;null;null;null;null;null;null;null;null;2;2;null;null;null;null;null;null;null;null;null
Claudio Caniggia;null;null;null;null;null;null;null;null;null;null;null;null;null;2;2;null;null;null;null;null;null
Hernán Crespo;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;3;null;null;null
René Houseman;null;null;null;null;null;null;null;null;null;3;1;null;null;null;null;null;null;null;null;null;null
Leopoldo Luque;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null
Jorge Valdano;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null
Jan Ceulemans;null;null;null;null;null;null;null;null;null;null;null;null;3;1;null;null;null;null;null;null;null
Chico;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sócrates;null;null;null;null;null;null;null;null;null;null;null;2;2;null;null;null;null;null;null;null;null
Zden?k Zikán;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Leonel Sánchez;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Marcelo Salas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null
Preben Elkjær Larsen;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null
Joe Jordan;null;null;null;null;null;null;null;null;null;2;1;1;null;null;null;null;null;null;null;null;null
Róbert Vittek;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null
Estanislao Basora;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Míchel González;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null
Fernando Torres;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;1;null
Telmo Zarra;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Clint Dempsey;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;2;null
Bert Patenaude;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Antoine Griezmann;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4
Raymond Kopa;null;null;null;null;1;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Kylian Mbappé;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4
Dominique Rocheteau;null;null;null;null;null;null;null;null;null;null;1;2;1;null;null;null;null;null;null;null;null
Flórián Albert;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ferenc Bene;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null
Nándor Hidegkuti;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ferenc Puskás;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Bobby Charlton;null;null;null;null;null;null;1;3;null;null;null;null;null;null;null;null;null;null;null;null;null
Michael Owen;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;2;null;null;null;null
Gino Colaussi;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Angelo Schiavio;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Autogoles;null;null;null;null;null;null;null;null;1;1;1;null;1;null;null;null;null;null;null;null;null
Keisuke Honda;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;1
Javier Hernández Balcázar;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;1
Luis Hernández;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null
Ahmed Musa;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;2
Kazimierz Deyna;null;null;null;null;null;null;null;null;null;3;1;null;null;null;null;null;null;null;null;null;null
Ernest Wilimowski;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Pauleta;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;1;null;null;null
Florin R?ducioiu;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null
Tomas Brolin;null;null;null;null;null;null;null;null;null;null;null;null;null;1;3;null;null;null;null;null;null
Martin Dahlin;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null
Ralf Edström;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null
Kurt Hamrin;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Agne Simonsson;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
André Abegglen;null;1;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Robert Ballaman;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Xherdan Shaqiri;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;1
Ígor Belánov;null;null;null;null;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null
Anatoli Býshovets;null;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null
Ígor Chislenko;null;null;null;null;null;null;2;2;null;null;null;null;null;null;null;null;null;null;null;null;null
Valeri Porkuián;null;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null
Denís Chéryshev;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;4
Carlos Borges;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Alcides Ghiggia;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dražan Jerkovi?;null;null;null;null;null;null;4;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mile Jedinak;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2
Michael Ballack;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null
Toni Kroos;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1
Pierre Littbarski;null;null;null;null;null;null;null;null;null;null;null;2;null;1;null;null;null;null;null;null;null
Wolfgang Overath;null;null;null;null;null;null;null;null;1;2;null;null;null;null;null;null;null;null;null;null;null
André Schürrle;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null
Fritz Walter;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sami Al-Jaber;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;null;1;null;null;null
Luis Artime;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null
Jorge Burruchaga;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null;null;null;null;null
Orestes Omar Corbatta;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Daniel Passarella;null;null;null;null;null;null;null;null;null;null;1;2;null;null;null;null;null;null;null;null;null
Carlos Peucelle;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Maxi Rodríguez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null
Carlos Tevez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;null;null
Alfred Körner;null;null;null;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Walter Schachner;null;null;null;null;null;null;null;null;null;null;1;2;null;null;null;null;null;null;null;null;null
Ernst Stojaspal;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Theodor Wagner;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Léopold Anoul;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Nico Claesen;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null
Eden Hazard;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3
Enzo Scifo;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null;null;null;null;null
Amarildo;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Baltazar;null;null;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
César Sampaio;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null
Didí;null;null;null;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dirceu;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null
Falcão;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null
Luís Fabiano;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null
José Perácio;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Preguinho;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roberto Dinamite;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null
Romeu;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Tostão;null;null;null;null;null;null;null;1;2;null;null;null;null;null;null;null;null;null;null;null;null
Samuel Eto'o;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;2;null;null
Adolf Scherer;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Yerry Mina;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3
Ahn Jung-hwan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null
Park Ji-sung;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;1;null;null
Son Heung-min;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2
Rónald Gómez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null
Paulo Wanchope;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;null;null;null
Héctor Socorro;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jesper Olsen;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null
Agustín Delgado;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;null;null;null
Enner Valencia;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null
José Luis Caminero;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null
Diego Costa;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3
Julio Salinas;null;null;null;null;null;null;null;null;null;null;null;null;1;1;1;null;null;null;null;null;null
Brian McBride;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;2;null;null;null;null
Autogoles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;1;1;null;null;null
Karim Benzema;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null
Bernard Genghini;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null;null;null;null;null;null
Alain Giresse;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null
Jean Nicolas;null;1;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Roger Piantoni;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Zoltán Czibor;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
László Kiss;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null
Géza Toldi;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
David Beckham;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;1;null;null;null
Steven Gerrard;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null
Roger Hunt;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null
Nat Lofthouse;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
David Platt;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null
Gerry Armstrong;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null
Robbie Keane;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null
Giuseppe Meazza;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Raimundo Orsi;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Luigi Riva;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null
Gianni Rivera;null;null;null;null;null;null;null;null;2;1;null;null;null;null;null;null;null;null;null;null;null
Cuauhtémoc Blanco;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;null;1;null;null
Rafael Márquez;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1;1;null
Johan Cruyff;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null
Nelson Cuevas;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;1;null;null;null
José Augusto;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null
José Torres;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null
Autogoles;null;null;null;null;null;null;null;1;null;null;null;null;null;null;null;null;1;null;null;1;null
?tefan Dobay;null;1;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gheorghe Hagi;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null
Papa Bouba Diop;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null
Harry Andersson;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Sven Jonasson;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Arne Nyberg;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Karl-Erik Palmér;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Stig Sundqvist;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Gustav Wetterström;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Jacques Fatton;null;null;null;2;1;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Leopold Kielholz;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Burhan Sarg?n;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
?lhan Mans?z;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3;null;null;null;null
Suat Mamat;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Eduard Maloféyev;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null
Artiom Dziuba;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;3
Juan Peregrino Anselmo;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Juan Hohberg;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Ivan Beck;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Dušan Bajevi?;null;null;null;null;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null
Dragan Stojkovi?;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null;1;null;null;null;null;null
Todor Veselinovi?;null;null;null;null;null;3;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Brett Holman;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null;null
Luka Modri?;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2
Ivica Oli?;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;null;null;1;null
Robert Prosine?ki;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null;null;null;null;null
Autogoles;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;1;1
Emmanuel Sanon;null;null;null;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null;null;null;null
Klaus Allofs;null;null;null;null;null;null;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null
Klaus Fischer;null;null;null;null;null;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null;null
Heinz Flohe;null;null;null;null;null;null;null;null;null;null;2;null;null;null;null;null;null;null;null;null;null
Mario Götze;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null
Karl Hohmann;null;2;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null
Mats Hummels;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;2;null
